Box size: max: 20.70783 min: 0.99219617 in Ang
T: 1073
Cation charge: 1  Anion charge: -1
Lag time  Cat  An
0.0  0.0  0.0
0.005  1.9164878289520034e-09  1.2550132252648035e-09
0.01  3.746816736494605e-09  2.4820389775179547e-09
0.015  5.422456661128058e-09  3.6570241701891655e-09
0.02  6.902584157752509e-09  4.76231752712351e-09
0.025  8.17474058721157e-09  5.787236165599655e-09
0.03  9.249021631332645e-09  6.727239368123221e-09
0.035  1.0149745711512068e-08  7.58246720392689e-09
0.04  1.090751392077892e-08  8.356224461656274e-09
0.045  1.15532308420003e-08  9.053740358041409e-09
0.05  1.2114547653324932e-08  9.681322977360826e-09
0.055  1.2614425285068317e-08  1.0245863959780463e-08
0.06  1.307112554688309e-08  1.075455792527291e-08
0.065  1.3498885220148105e-08  1.121469862999409e-08
0.07  1.3908699808027235e-08  1.1633471734443667e-08
0.075  1.4308904627466466e-08  1.2017731207501196e-08
0.08  1.4705486599294418e-08  1.2373787973237277e-08
0.085  1.5102223540089578e-08  1.2707248108571989e-08
0.09  1.5500800691882015e-08  1.3022923449982055e-08
0.095  1.5901017829484244e-08  1.3324815010795457e-08
0.1  1.6301127429364603e-08  1.3616151624703214e-08
0.105  1.6698278667850388e-08  1.3899458540968246e-08
0.11  1.7089000927366867e-08  1.4176633854693218e-08
0.115  1.746965084420068e-08  1.4449021257104843e-08
0.12  1.783677115159457e-08  1.4717478613266798e-08
0.125  1.8187349751395362e-08  1.4982447583118738e-08
0.13  1.851899198634993e-08  1.524402916061015e-08
0.135  1.883001862152753e-08  1.550206566092893e-08
0.14  1.9119496659763058e-08  1.5756224368241334e-08
0.145  1.9387213827862698e-08  1.6006075089178886e-08
0.15  1.9633610419623706e-08  1.625115463354574e-08
0.155  1.9859678161026668e-08  1.6491014648413114e-08
0.16  2.0066834762651903e-08  1.6725253195814053e-08
0.165  2.025678627977693e-08  1.69535334669501e-08
0.17  2.0431389646531587e-08  1.7175593938731752e-08
0.175  2.0592525864935996e-08  1.739125249903098e-08
0.18  2.0741994938515906e-08  1.7600404610888084e-08
0.185  2.0881441093366892e-08  1.7803015564243426e-08
0.19  2.101230704224082e-08  1.7999109046093607e-08
0.195  2.1135810164531267e-08  1.8188755763305265e-08
0.2  2.1252936661183133e-08  1.8372065186894896e-08
0.205  2.1364453269431553e-08  1.85491812927233e-08
0.21  2.1470935049519915e-08  1.8720280905417365e-08
0.215  2.157280283987079e-08  1.88855723110226e-08
0.22  2.1670359140552164e-08  1.9045292311082965e-08
0.225  2.1763813287718082e-08  1.919970061276898e-08
0.23  2.185329696987694e-08  1.934907111414729e-08
0.235  2.193888043210877e-08  1.949368116809701e-08
0.24  2.2020599184576205e-08  1.963380154311928e-08
0.245  2.2098490562179755e-08  1.976968974784102e-08
0.25  2.2172626224312727e-08  1.9901587719132818e-08
0.255  2.224312270718956e-08  2.0029722836422664e-08
0.26  2.23101264469489e-08  2.015430948260044e-08
0.265  2.237378990790425e-08  2.027554774613483e-08
0.27  2.2434258747555744e-08  2.0393617869353335e-08
0.275  2.2491675944874513e-08  2.0508673173085585e-08
0.28  2.254619583114761e-08  2.0620836217022087e-08
0.285  2.2597999494400692e-08  2.0730200491448568e-08
0.29  2.264730747299423e-08  2.0836836433021904e-08
0.295  2.2694386597768136e-08  2.0940799539034335e-08
0.3  2.2739545405975852e-08  2.1042138828093064e-08
0.305  2.2783113994517933e-08  2.1140903901254616e-08
0.31  2.282541052022694e-08  2.1237148987365946e-08
0.315  2.2866702620209114e-08  2.133093376547541e-08
0.32  2.2907176476693742e-08  2.1422322545965454e-08
0.325  2.294692763935469e-08  2.1511383686984156e-08
0.33  2.2985980097817415e-08  2.159818966049098e-08
0.335  2.302432556587261e-08  2.1682816704703368e-08
0.34  2.3061965956390417e-08  2.1765342826054168e-08
0.345  2.309894397639608e-08  2.1845843836758443e-08
0.35  2.31353543789184e-08  2.1924388478355732e-08
0.355  2.3171336899152027e-08  2.2001034590809713e-08
0.36  2.3207057514098808e-08  2.2075827879900373e-08
0.365  2.3242684073625083e-08  2.2148803464690562e-08
0.37  2.3278360142818805e-08  2.2219989143887475e-08
0.375  2.3314182843707146e-08  2.228940866273058e-08
0.38  2.3350191106400956e-08  2.2357083532210467e-08
0.385  2.3386364327878776e-08  2.2423033448649522e-08
0.39  2.3422625244585714e-08  2.2487276976885457e-08
0.395  2.345884333539165e-08  2.2549834064467337e-08
0.4  2.349484182083937e-08  2.261072991293166e-08
0.405  2.353041130573814e-08  2.2669997905317075e-08
0.41  2.3565325490103987e-08  2.2727679716993012e-08
0.415  2.3599351254844177e-08  2.2783822688288693e-08
0.42  2.3632254228568894e-08  2.2838475913948072e-08
0.425  2.366381054469928e-08  2.2891686505551178e-08
0.43  2.3693831632526015e-08  2.2943497036668267e-08
0.435  2.372219733853996e-08  2.2993945109745e-08
0.44  2.3748887328848204e-08  2.3043065633715658e-08
0.445  2.37740001631009e-08  2.3090895347882037e-08
0.45  2.3797750922420993e-08  2.3137478087124447e-08
0.455  2.3820446352861214e-08  2.3182868892438814e-08
0.46  2.3842443756676953e-08  2.3227135435749956e-08
0.465  2.3864100292533833e-08  2.3270356147689674e-08
0.47  2.388572118160166e-08  2.3312615454416316e-08
0.475  2.390751980770605e-08  2.3353997139714525e-08
0.48  2.39296005349443e-08  2.3394577117009793e-08
0.485  2.3951964404573823e-08  2.343441705267635e-08
0.49  2.3974528205642993e-08  2.347356024296903e-08
0.495  2.3997146254855855e-08  2.3512030902895335e-08
0.5  2.4019629817584878e-08  2.354983748996599e-08
0.505  2.4041764479824493e-08  2.3586979420421374e-08
0.51  2.406332786782002e-08  2.3623454792696725e-08
0.515  2.4084111507296047e-08  2.3659266254225305e-08
0.52  2.4103949015274124e-08  2.369442374892321e-08
0.525  2.412274485820793e-08  2.3728944568505958e-08
0.53  2.4140492344615872e-08  2.3762851242090213e-08
0.535  2.4157274426488395e-08  2.379616725505979e-08
0.54  2.4173249037332224e-08  2.38289108454e-08
0.545  2.4188624550537152e-08  2.3861088334635757e-08
0.55  2.4203631876494852e-08  2.3892689430686443e-08
0.555  2.4218497704839556e-08  2.3923686256227472e-08
0.56  2.4233419992141553e-08  2.395403577429698e-08
0.565  2.4248546785402898e-08  2.3983683730268238e-08
0.57  2.4263961601393702e-08  2.4012568441015274e-08
0.575  2.42796792506681e-08  2.4040624496698114e-08
0.58  2.429565588498448e-08  2.406778793217221e-08
0.585  2.4311813432395195e-08  2.409400403608986e-08
0.59  2.4328069920291596e-08  2.4119237229372544e-08
0.595  2.4344364006717527e-08  2.4143480824993048e-08
0.6  2.4360668277639267e-08  2.41667636898024e-08
0.605  2.4376991795920373e-08  2.4189151062123227e-08
0.61  2.4393373427818036e-08  2.421073863242479e-08
0.615  2.4409866912680448e-08  2.4231642251722823e-08
0.62  2.4426520417989064e-08  2.4251987692578905e-08
0.625  2.4443358372192157e-08  2.4271903359019437e-08
0.63  2.4460375106026587e-08  2.4291515549200074e-08
0.635  2.4477541543788814e-08  2.4310944329128297e-08
0.64  2.449481597263265e-08  2.4330298642561744e-08
0.645  2.451215125273407e-08  2.4349670391768885e-08
0.65  2.452949958583527e-08  2.436912804692905e-08
0.655  2.454681826818398e-08  2.4388710815073224e-08
0.66  2.4564074852670174e-08  2.4408424700993567e-08
0.665  2.4581248709357125e-08  2.4428241793937845e-08
0.67  2.4598331614795167e-08  2.444810356913737e-08
0.675  2.461533083737164e-08  2.446792815299199e-08
0.68  2.463226909850726e-08  2.448762054101159e-08
0.685  2.4649171880647294e-08  2.4507083642213e-08
0.69  2.4666043238536983e-08  2.4526227274172346e-08
0.695  2.4682844165198417e-08  2.4544973104210368e-08
0.7  2.4699488672275503e-08  2.4563256027036576e-08
